Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
1735,Home Mortgage,,10+ years,0,13,14.8,495748,0,,0,294994,31021,
1736,Home Mortgage,1400205,6 years,0,8,19,332156,0,,0,265905,21353,730
1737,Home Mortgage,874095,7 years,0,12,9.8,858638,0,,0,327769,17336,713
1738,Own Home,967480,9 years,0,15,28.5,2164008,0,,0,1510082,27492,665
1739,Rent,,10+ years,0,16,38.3,308990,0,,0,156123,18671,
1740,Home Mortgage,3094112,3 years,0,15,36.9,989780,0,,0,741969,37129,740
1741,Rent,597360,,0,9,14.4,391160,0,,0,226005,12196,723
1742,Home Mortgage,,10+ years,0,21,22.5,1706320,0,,0,1006487,29796,
1743,Rent,1893046,2 years,0,2,15.3,163240,0,,0,61465,5900,698
1744,Home Mortgage,1845983,4 years,0,14,12.1,828080,2,,0,146604,26613,635
1745,Home Mortgage,1047489,10+ years,0,11,13,459096,0,,0,369930,28806,702
1746,Home Mortgage,3460356,9 years,0,8,16.1,539000,1,,1,332823,36911,738
1747,Home Mortgage,,4 years,0,6,17.7,11110,0,,0,8037,9529,
1748,Home Mortgage,,10+ years,0,3,40.5,59950,1,,1,38684,4778,
1749,Home Mortgage,1860119,5 years,0,8,10.1,383614,0,,0,193477,6789,715
1750,Home Mortgage,,10+ years,0,16,22.6,6052442,0,,0,867692,23698,
1751,Own Home,1743858,10+ years,0,15,16,509542,0,,0,216505,28774,715
1752,Rent,1749406,2 years,0,11,17,601260,0,,0,368676,30469,678
1753,Home Mortgage,620103,10+ years,0,13,22.9,1619750,0,,0,268584,7441,747
1754,Rent,424308,,0,7,23.6,233596,0,,0,111758,8345,624
1755,Own Home,1608217,9 years,0,9,27.2,410058,0,,0,86773,23989,673
1756,Rent,1357056,10+ years,0,7,15.2,579898,0,,0,209342,20469,698
1757,Home Mortgage,1716479,10+ years,0,9,16.8,439032,0,,0,268071,19454,743
1758,Rent,883177,10+ years,0,16,16.5,1222144,0,,0,284981,18252,745
1759,Home Mortgage,502436,6 years,0,5,15.3,181918,0,,0,88464,3241,737
1760,Home Mortgage,,5 years,0,11,16.3,656590,0,,0,79382,26872,
1761,Rent,2088746,1 year,0,13,12.6,1692988,0,,0,33630,32776,747
1762,Home Mortgage,4509213,7 years,0,12,35,910756,0,,0,600153,34420,734
1763,Rent,,,0,10,37.9,374704,1,,1,193838,11434,
1764,Rent,1358443,4 years,0,13,24.5,1253296,0,,0,313899,16980,744
1765,Home Mortgage,,2 years,0,16,10.7,809050,0,,0,299744,13630,
1766,Rent,1542040,10+ years,0,7,26.5,638264,0,,0,473499,19944,734
1767,Own Home,269534,,0,6,24.5,193380,0,,0,115748,4717,700
1768,Home Mortgage,2351250,10+ years,0,7,17.7,531432,1,,1,46360,1431,736
1769,Home Mortgage,2915759,2 years,0,43,29,1729882,0,,0,448191,40578,672
1770,Home Mortgage,1633753,3 years,0,11,17,307648,0,,0,237006,14704,728
1771,Rent,1263291,3 years,0,5,13.3,211464,0,,0,131138,3979,6910
1772,Home Mortgage,1587070,10+ years,0,11,26.5,2001472,0,,0,618830,20235,720
1773,Home Mortgage,713526,10+ years,0,8,12.7,783706,0,,0,598994,9454,732
1774,Rent,1872830,3 years,0,4,8.4,444466,0,,0,363508,7897,713
1775,Home Mortgage,,5 years,0,8,13.8,303446,0,,0,221445,6790,
1776,Home Mortgage,,10+ years,0,7,21.5,727958,0,,0,49666,17155,
1777,Rent,1942845,6 years,1,19,9.5,925056,1,,0,209304,13859,740
1778,Own Home,1070802,2 years,0,13,22,737176,0,,0,345059,19632,737
1779,Rent,821579,1 year,0,10,11.4,747956,0,,0,273239,14309,731
1780,Home Mortgage,1180717,< 1 year,0,10,13.7,1042998,0,,0,674671,25779,703
1781,Rent,,8 years,0,28,19.7,712602,0,,0,219089,11988,
1782,Rent,1116098,< 1 year,0,6,18,612766,0,,0,388968,11626,705
1783,Rent,951520,8 years,0,11,19.3,242352,1,,1,122227,12370,718
1784,Own Home,1122900,4 years,0,8,18.1,114818,0,,0,84968,10855,7330
1785,Home Mortgage,1551312,10+ years,0,9,21,323422,1,,1,247475,13445,732
1786,Home Mortgage,1399350,10+ years,0,8,29.7,535502,0,,0,346845,24722,686
1787,Home Mortgage,1503584,10+ years,0,14,23,427042,0,,0,127243,15286,715
1788,Rent,631598,10+ years,0,12,14.8,400224,0,,0,164521,7053,734
1789,Rent,,10+ years,0,14,12.9,408232,0,,0,192508,30901,
1790,Rent,1313622,10+ years,0,9,19.1,319220,1,,1,102011,20471,653
1791,Rent,,< 1 year,0,14,27.4,3567982,0,,0,2431259,48833,
1792,Rent,,3 years,0,11,15.7,239250,0,,0,59299,23436,
1793,Rent,763496,10+ years,0,12,17.6,1700644,0,,0,512601,17242,750
1794,Rent,925300,3 years,0,9,8.7,247852,0,,0,157339,10255,723
1795,Home Mortgage,1021174,10+ years,0,18,17.5,1665774,0,,0,487692,25019,733
1796,Rent,1483672,10+ years,0,17,21,319858,1,,1,170715,23121,700
1797,Own Home,1812581,3 years,0,17,17.3,1607056,0,,0,845234,49997,723
1798,Home Mortgage,1037438,5 years,0,24,24.8,1386066,0,,0,660782,23256,738
1799,Home Mortgage,1160634,< 1 year,0,21,29.6,2287142,0,,0,280478,11316,751
1800,Rent,1444285,8 years,0,8,35,810194,0,,0,412129,11879,728
1801,Home Mortgage,1307124,2 years,0,8,14.1,388828,1,,1,60439,9150,742
1802,Rent,1043651,< 1 year,0,12,15,0,0,,0,0,19394,720
1803,Home Mortgage,1163370,4 years,0,3,15,38170,0,,0,28709,3471,736
1804,Rent,1651480,10+ years,0,11,20.2,1044340,0,,0,505989,23121,733
1805,Home Mortgage,1892172,7 years,0,9,22.7,1340966,0,,0,933432,29676,7250
1806,Home Mortgage,1445995,10+ years,0,16,15.1,723338,0,,0,526623,28317,720
1807,Rent,1265381,10+ years,0,16,11.9,592944,0,,0,377929,28365,713
1808,Rent,1432562,1 year,0,11,18.1,762982,0,,0,408538,27469,614
1809,Home Mortgage,786030,5 years,0,4,13.1,21670,0,,0,7296,16638,700
1810,Rent,674842,< 1 year,0,10,7,203236,0,,0,107236,14115,691
1811,Home Mortgage,2562701,1 year,0,23,27,1183292,0,,0,400596,50827,721
1812,Own Home,962065,4 years,0,9,16.9,443586,1,,1,114931,7584,721
1813,Rent,646133,8 years,0,14,12.7,297440,0,,0,143849,18576,705
1814,Rent,642181,< 1 year,0,11,13.6,216634,0,,0,132278,9686,732
1815,Home Mortgage,1170666,10+ years,0,18,28.3,444510,1,,1,226499,10634,697
1816,Home Mortgage,,10+ years,0,4,32.8,0,0,,0,0,6323,
1817,Home Mortgage,2105010,10+ years,0,27,33,1601358,0,,0,847780,56660,713
1818,Rent,1002915,10+ years,0,10,11.1,348392,0,,0,214529,13623,688
1819,Rent,1512096,10+ years,0,6,12.5,207944,0,,0,132354,13861,735
1820,Home Mortgage,,10+ years,0,8,23.1,626142,0,,0,304988,12174,
1821,Rent,744800,,0,11,15.3,265672,0,,0,161766,4854,697
1822,Rent,637089,2 years,0,6,16.9,395780,0,,0,26657,4481,724
1823,Rent,,3 years,0,23,12.3,677820,0,,0,440230,20730,
1824,Rent,1327872,5 years,0,5,9,125268,0,,0,86222,4504,705
1825,Own Home,1947500,3 years,0,11,9.4,583924,0,,0,274854,24344,743
1826,Home Mortgage,,5 years,0,20,12,54692,0,,0,5187,7348,
1827,Rent,,7 years,0,27,18.7,264440,0,,0,64410,22798,
1828,Rent,,1 year,0,15,13.5,492492,0,,0,19988,2921,
1829,Rent,1008805,2 years,0,15,21.1,1721324,0,,0,454898,10340,737
1830,Home Mortgage,689073,10+ years,0,8,15.8,239646,1,,1,139707,12690,740
1831,Rent,1167702,3 years,0,6,18.3,322278,0,,0,132202,8115,742
1832,Home Mortgage,1230554,10+ years,0,10,13,210430,1,,0,158308,13126,739
1833,Home Mortgage,664544,3 years,0,13,13.5,205106,0,,0,144001,9470,742
1834,Home Mortgage,,< 1 year,0,20,11.8,579348,0,,0,267178,21990,
1835,Rent,1397222,2 years,0,11,9.3,906510,0,,0,191805,14904,685
1836,Home Mortgage,522177,10+ years,0,10,31.5,445082,0,,0,233700,7137,746
1837,Home Mortgage,3696640,5 years,0,15,25.5,1237170,0,,0,644290,62535,724
1838,Rent,1315636,3 years,0,11,18.9,2181850,0,,0,700967,21050,728
1839,Home Mortgage,1807945,10+ years,0,23,15.6,1245200,0,,0,596847,17025,636
1840,Rent,1261524,4 years,0,11,19.6,1470744,0,,0,617310,17241,742
1841,Home Mortgage,2328450,7 years,0,11,18.7,364804,0,,0,138947,19598,743
1842,Home Mortgage,,2 years,0,11,16,459976,1,,1,305881,23117,
1843,Home Mortgage,847647,6 years,0,15,17.9,235642,0,,0,141436,20273,691
1844,Home Mortgage,810692,4 years,0,7,28,773762,0,,0,149682,3358,750
1845,Home Mortgage,2257162,10+ years,0,13,17.5,814836,0,,0,403237,29531,749
1846,Home Mortgage,,9 years,0,13,19.6,320254,0,,0,220419,19340,
1847,Rent,1524218,6 years,0,4,14.3,888976,0,,0,19190,1829,640
1848,Rent,2474199,1 year,0,12,16.1,645986,0,,0,365978,34639,741
1849,Home Mortgage,1492792,6 years,0,11,16.6,1519122,0,,0,220419,13808,751
1850,Rent,1088548,10+ years,0,12,30.3,1348512,0,,0,682461,26397,718
1851,Home Mortgage,2862255,1 year,0,14,19.8,856658,0,,0,398772,41741,747
1852,Home Mortgage,1303001,10+ years,0,9,18.8,655358,0,,0,258096,25191,743
1853,Rent,661675,7 years,0,14,13.7,527274,0,,0,226309,8050,730
1854,Rent,769177,4 years,0,13,12.7,380578,1,,1,81187,14358,727
1855,Home Mortgage,1009147,10+ years,0,16,25.9,874390,0,,0,599583,25565,680
1856,Own Home,868604,4 years,0,7,11.3,1010724,0,,0,375345,17951,694
1857,Rent,2644572,9 years,0,11,21.8,1188088,0,,0,515090,23360,746
1858,Rent,643378,1 year,0,7,10.9,550770,0,,0,74195,9329,736
1859,Home Mortgage,2056351,10+ years,0,17,14,1022714,0,,0,391286,29132,718
1860,Rent,753920,2 years,2,8,17.1,202994,4,,1,157776,13885,725
1861,Rent,1155390,10+ years,1,25,30.7,191818,2,,0,78356,18968,740
1862,Home Mortgage,1245051,10+ years,0,17,17.8,719334,0,,0,370880,33616,6890
1863,Home Mortgage,1719310,10+ years,0,9,16.8,343244,0,,0,168378,12293,725
1864,Rent,,5 years,0,8,10.2,365134,0,,0,250382,11549,
1865,Home Mortgage,,4 years,0,9,17.1,260084,0,,0,75240,5749,
1866,Own Home,745864,1 year,0,12,5.6,546920,0,,0,166744,5557,742
1867,Rent,761292,2 years,0,8,11.2,138886,0,,0,88274,13450,740
1868,Rent,750880,4 years,0,11,7.4,504350,0,,0,179892,18897,726
1869,Home Mortgage,1400072,10+ years,0,14,27.6,820556,1,,1,295507,24268,654
1870,Home Mortgage,1424012,10+ years,0,12,15.6,767360,0,,0,440705,16851,713
1871,Home Mortgage,,3 years,0,3,15.3,242836,0,,0,43206,1136,
1872,Home Mortgage,,10+ years,0,17,16.8,946022,0,,0,298205,21609,
1873,Home Mortgage,1387798,10+ years,0,8,17.9,440902,1,,1,31597,23940,732
1874,Rent,1232036,6 years,1,9,10.4,779680,1,,0,26942,472,721
1875,Home Mortgage,2214507,< 1 year,0,9,25.8,735966,0,,0,469072,11940,6860
1876,Rent,,10+ years,0,8,25.3,376772,0,,0,226138,26978,
1877,Home Mortgage,1916302,1 year,0,11,13.9,116270,0,,0,85956,14436,730
1878,Home Mortgage,950000,2 years,0,16,15.2,503492,0,,0,221768,23433,687
1879,Home Mortgage,1433835,6 years,0,8,17.8,12701436,0,,0,1985462,14099,749
1880,Home Mortgage,1667535,5 years,0,15,17.5,2580226,0,,0,249584,11562,750
1881,Rent,,10+ years,0,14,18.7,455202,0,,0,117154,17000,
1882,Home Mortgage,928872,10+ years,0,9,33.2,451066,1,,1,135185,12385,721
1883,Home Mortgage,,10+ years,0,19,19,1187076,0,,0,307553,31579,
1884,Own Home,1330532,2 years,0,9,16.9,202268,0,,0,46816,20401,730
1885,Home Mortgage,2332440,< 1 year,0,16,21.7,2787532,0,,0,2101666,55979,747
1886,Own Home,1243531,9 years,0,8,15.5,133012,0,,0,64106,13368,706
1887,Home Mortgage,,5 years,0,6,13.6,119724,0,,0,76209,15223,
1888,Own Home,577296,4 years,0,8,6.7,166936,0,,0,65018,4484,726
1889,Own Home,968316,2 years,0,14,14.6,450714,0,,0,274816,27517,733
1890,Rent,790419,< 1 year,0,22,23.7,382954,0,,0,109478,8233,733
1891,Rent,944680,10+ years,0,13,15.3,386056,0,,0,213389,17162,709
1892,Rent,461491,1 year,0,8,28.3,517550,0,,0,219925,13191,7300
1893,Home Mortgage,1642303,10+ years,0,12,21.5,375452,1,,1,74252,39826,748
1894,Rent,958094,8 years,0,6,17.6,0,0,,0,0,11816,725
1895,Home Mortgage,1049085,10+ years,0,12,15,693154,0,,0,491473,22030,718
1896,Home Mortgage,1263158,9 years,0,18,23.2,2143900,0,,0,666558,21789,745
1897,Home Mortgage,899783,10+ years,0,8,23.9,402732,0,,0,230261,16796,692
1898,Rent,1721457,3 years,0,5,12.5,93742,0,,0,3477,17975,734
1899,Rent,1258959,< 1 year,0,10,11.2,396616,0,,0,153102,17416,728
1900,Rent,1027957,10+ years,0,9,14,423280,1,,1,230679,7838,6520
1901,Home Mortgage,810920,2 years,0,17,19,408782,0,,0,163457,20118,747
1902,Rent,1048667,10+ years,0,11,14.6,680020,0,,0,320074,15817,738
1903,Rent,1360191,3 years,0,10,10.8,350988,0,,0,232503,36498,6810
1904,Own Home,1147448,8 years,0,16,24.6,1068430,0,,0,370937,22949,745
1905,Home Mortgage,1053607,,0,5,9.4,152790,0,,0,118085,19667,749
1906,Own Home,695020,5 years,0,10,23,53680,0,,0,35416,13900,722
1907,Home Mortgage,,9 years,0,12,14.4,744326,0,,0,627399,29999,
1908,Rent,,5 years,0,10,19.1,927894,0,,0,294899,7679,
1909,Home Mortgage,837729,10+ years,0,5,17.9,76450,1,,1,38285,17313,719
1910,Own Home,620958,< 1 year,0,13,14.9,422928,0,,0,115786,8072,721
1911,Rent,949620,5 years,0,11,14.4,676566,0,,0,268774,15590,744
1912,Home Mortgage,617785,8 years,0,7,8.6,409992,0,,0,234403,19718,663
1913,Home Mortgage,,10+ years,0,6,31.7,404338,1,,1,106856,8250,
1914,Home Mortgage,2458087,10+ years,0,12,25.6,724944,0,,0,353742,9627,730
1915,Rent,,6 years,0,6,9.2,265738,0,,0,205865,6122,
1916,Home Mortgage,1879860,10+ years,0,9,12.9,274648,0,,0,189753,25065,746
1917,Rent,745180,1 year,0,6,12.8,532972,0,,0,257317,10122,737
1918,Home Mortgage,,4 years,0,14,15,106744,0,,0,72827,16296,
1919,Home Mortgage,1454507,7 years,0,16,16,394900,0,,0,190988,21090,720
1920,Home Mortgage,738549,,0,10,9,454608,0,,0,126806,17971,695
1921,Home Mortgage,2829480,2 years,0,8,19.8,601018,1,,1,349334,15704,737
1922,Own Home,673987,10+ years,0,8,13.5,390148,0,,0,305938,15445,7260
1923,Home Mortgage,455715,,0,11,38.8,540210,0,,0,219735,7975,744
1924,Rent,1059611,8 years,0,11,16.2,443630,0,,0,237937,14128,745
1925,Home Mortgage,933280,1 year,0,13,12.5,795586,0,,0,462422,19054,739
1926,Rent,1161109,10+ years,0,15,19.6,398992,1,,1,108889,29125,736
1927,Home Mortgage,1988217,6 years,0,27,11.4,1082994,0,,0,369455,23693,747
1928,Home Mortgage,1148208,,2,8,22,489896,2,,0,247513,22582,737
1929,Home Mortgage,1306193,10+ years,0,10,21,607046,0,,0,498579,33090,741
1930,Rent,1558304,9 years,0,14,12,191180,0,,0,41762,35192,724
1931,Home Mortgage,2773468,10+ years,0,8,29,3979206,0,,0,3271629,43682,727
1932,Home Mortgage,868680,4 years,0,7,6.7,221188,0,,0,133912,4322,714
1933,Own Home,1517416,10+ years,0,4,17.1,294382,0,,0,216106,5994,709
1934,Home Mortgage,831231,8 years,0,6,14.1,126852,0,,0,95304,11707,736
1935,Home Mortgage,535876,,0,16,17.5,861762,0,,0,317794,12504,656
1936,Home Mortgage,822795,1 year,0,11,10.5,686334,0,,0,183160,10765,747
1937,Home Mortgage,1360989,10+ years,0,12,23.4,1111462,0,,0,289883,20075,750
1938,Rent,1423993,9 years,0,7,11.7,492514,0,,0,302005,8259,698
1939,Rent,325926,5 years,0,7,28.9,141526,0,,0,59527,4808,742
1940,Rent,951330,4 years,0,6,17,176330,0,,0,41876,2838,738
1941,Home Mortgage,1601092,10+ years,0,15,18.6,785620,0,,0,232731,26818,748
1942,Rent,,< 1 year,0,9,13.8,207218,0,,0,117572,12667,
1943,Rent,,5 years,2,14,14.6,607200,3,,1,116413,10815,
1944,Rent,794580,6 years,0,11,20.5,617122,0,,0,187074,7151,739
1945,Rent,,2 years,0,16,13.1,349140,0,,0,104633,11120,
1946,Rent,657286,2 years,0,6,8.4,100056,0,,0,66614,8764,740
1947,Rent,,1 year,0,4,11.4,895312,0,,0,167789,5940,
1948,Rent,978215,7 years,0,17,18.1,762938,0,,0,412471,22499,741
1949,Home Mortgage,,7 years,0,14,14.7,498432,0,,0,218253,24667,
1950,Home Mortgage,1836768,7 years,0,33,33,2597628,0,,0,695457,36888,734
1951,Home Mortgage,1305395,7 years,0,13,23.4,583462,1,,0,238355,11531,648
1952,Home Mortgage,1619427,10+ years,0,10,16.4,736208,0,,0,467324,25911,733
1953,Rent,608057,8 years,0,11,28.6,250932,0,,0,59375,9222,720
1954,Rent,808621,3 years,0,8,7.9,187132,0,,0,92606,22035,710
1955,Own Home,558087,,0,9,14.5,159434,0,,0,100662,10278,708
1956,Rent,825664,6 years,0,10,8.8,262416,0,,0,146414,22086,686
1957,Rent,1088795,6 years,0,8,9.7,304392,0,,0,69141,19326,751
1958,Home Mortgage,2067010,10+ years,0,8,13.8,147444,0,,0,11970,29283,722
1959,Home Mortgage,1168519,10+ years,0,9,15,676390,0,,0,352830,11977,725
1960,Home Mortgage,1953314,3 years,0,7,26.3,667458,0,,0,352203,14064,747
1961,Home Mortgage,,9 years,0,7,13.6,114400,0,,0,85481,16252,
1962,Home Mortgage,1427280,10+ years,0,3,21.8,220264,0,,0,145711,3497,710
1963,Rent,,2 years,0,7,22.3,73150,0,,0,23940,17432,
1964,Rent,,10+ years,0,21,20.4,2162138,0,,0,883234,45402,
1965,Home Mortgage,754452,6 years,0,10,33.8,500368,0,,0,420888,15089,668
1966,Home Mortgage,1497257,< 1 year,0,15,20.5,1144462,0,,0,682974,14474,729
1967,Home Mortgage,1043651,10+ years,0,7,27.7,148302,1,,1,81966,4409,728
1968,Rent,1910070,3 years,0,8,7.4,367224,0,,0,178562,9773,740
1969,Home Mortgage,1071030,4 years,0,16,13,493592,1,,1,215707,14994,725
1970,Rent,2069651,10+ years,0,12,14.5,197340,0,,0,98515,17937,728
1971,Rent,774516,3 years,0,5,10.5,239778,0,,0,208544,11682,694
1972,Rent,818064,< 1 year,0,11,18,548680,0,,0,221768,15134,733
1973,Home Mortgage,,1 year,0,23,39,2592854,0,,0,936016,23714,
1974,Rent,1696320,< 1 year,0,16,21.9,983598,0,,0,586131,25162,748
1975,Home Mortgage,1554200,10+ years,0,9,20.8,854128,0,,0,368828,20334,734
1976,Rent,918384,3 years,0,8,8.5,733326,0,,0,400900,9643,707
1977,Home Mortgage,1442385,10+ years,0,15,23.6,378708,1,,1,136059,11659,6620
1978,Home Mortgage,,3 years,0,11,13.4,189794,0,,0,157358,15682,
1979,Rent,402990,4 years,0,9,11,512028,0,,0,180861,5272,738
1980,Rent,1343167,10+ years,0,15,10.5,417758,0,,0,291156,16230,746
1981,Rent,764940,3 years,0,9,10.5,455862,0,,0,175199,16000,716
1982,Rent,1140114,10+ years,0,5,17.8,503778,0,,0,345895,9406,730
1983,Home Mortgage,2151541,10+ years,0,13,25.4,2318932,0,,0,330448,15025,745
1984,Home Mortgage,8758449,10+ years,0,10,20.6,0,0,,0,2759503,12919,748
1985,Own Home,994517,10+ years,0,10,14.7,205964,0,,0,91067,19145,698
1986,Home Mortgage,1185543,10+ years,0,8,13,238854,0,,0,86640,4762,673
1987,Home Mortgage,2616908,10+ years,0,21,20.2,1266254,0,,0,804878,27478,716
1988,Rent,593408,4 years,0,5,13.6,287408,0,,0,84398,6082,748
1989,Rent,2074952,10+ years,0,12,28.4,729454,0,,0,398145,44785,730
1990,Home Mortgage,1620662,10+ years,0,15,23,1313862,0,,0,512886,30792,729
1991,Rent,806797,2 years,0,17,15.2,962500,0,,0,371564,16068,744
1992,Own Home,1443240,10+ years,0,6,10.4,400796,0,,0,197999,3608,644
1993,Home Mortgage,868509,6 years,0,7,36.4,185460,1,,1,121087,12376,743
1994,Home Mortgage,1539608,10+ years,0,8,41.6,655380,0,,0,526965,31049,749
1995,Rent,609938,1 year,0,9,16.1,273768,0,,0,211850,10181,7130
1996,Rent,,7 years,0,4,35.2,276936,0,,0,151145,4087,
1997,Rent,619666,2 years,0,9,17,477884,0,,0,192755,13219,738
1998,Home Mortgage,1253278,7 years,0,13,12.8,517506,0,,0,335654,17023,709
1999,Home Mortgage,860890,10+ years,0,7,12,790790,0,,0,303905,8250,697
2000,Home Mortgage,1506472,10+ years,0,12,14.5,491150,0,,0,118769,22471,7230
2001,Home Mortgage,443859,4 years,0,7,15.2,310530,0,,0,148580,4291,726
2002,Home Mortgage,,10+ years,0,24,18.5,4428138,0,,0,1587089,40865,
2003,Rent,899023,6 years,0,8,18.5,393360,0,,0,242554,11193,727
2004,Home Mortgage,1965873,10+ years,0,5,19.6,700216,0,,0,298148,8011,748
2005,Rent,902728,4 years,0,8,10,177914,0,,0,86203,13992,708
2006,Rent,675906,1 year,0,21,11.9,463364,0,,0,162868,13462,680
2007,Home Mortgage,3472668,2 years,0,4,31,290246,0,,0,182229,10534,738
2008,Home Mortgage,3069488,10+ years,0,11,16.7,1163734,0,,0,631161,27370,744
2009,Own Home,248577,3 years,0,8,12.9,283404,0,,0,106723,3211,746
2010,Rent,664316,1 year,0,12,13,232386,0,,0,82289,5331,7380
2011,Home Mortgage,1312843,,0,8,46.5,3305478,0,,0,496717,9452,751
2012,Rent,543115,10+ years,0,8,13,164692,0,,0,107255,9007,7060
2013,Rent,818862,4 years,0,9,19.4,170390,0,,0,92701,22110,716
2014,Home Mortgage,1809598,6 years,0,15,12.2,757966,0,,0,270997,23449,722
2015,Own Home,829312,3 years,0,10,28.7,726594,0,,0,180101,23843,7370
2016,Rent,774288,< 1 year,0,6,8.9,152504,0,,0,85348,4362,707
2017,Rent,864842,2 years,0,6,11.4,388498,0,,0,146623,4649,712
2018,Rent,,< 1 year,0,7,21.7,594726,0,,0,5130,11887,
2019,Rent,817190,,0,14,34.5,1101276,0,,0,262504,12871,739
2020,Rent,748980,5 years,0,8,12.5,472120,0,,0,178600,9487,730
2021,Rent,772046,10+ years,0,18,16.7,747670,0,,0,264746,22325,708
2022,Rent,615581,< 1 year,0,14,13.7,278608,0,,0,195871,14415,693
2023,Rent,1342825,10+ years,0,12,16.3,57562560,0,,0,944547,9176,749
2024,Rent,463562,< 1 year,0,9,11.4,272866,0,,0,129371,4442,748
2025,Rent,862619,5 years,0,9,11.4,173360,0,,0,56582,15168,735
2026,Home Mortgage,1908550,10+ years,0,14,20.5,1450240,0,,0,557346,27181,702
2027,Home Mortgage,,6 years,0,14,17.4,305536,1,,1,153311,20562,
2028,Home Mortgage,2650709,6 years,0,13,24.5,3187602,0,,0,597379,46167,742
2029,Home Mortgage,1428420,8 years,0,16,17.7,866382,0,,0,417525,29878,741
2030,Rent,893950,< 1 year,0,10,20.2,477136,0,,0,170183,10206,711
2031,Own Home,291745,< 1 year,0,3,12.5,45474,0,,0,14535,7902,707
2032,Own Home,2309868,5 years,0,7,7.9,710270,0,,0,167466,21944,647
2033,Home Mortgage,1536036,10+ years,0,12,20.7,837034,0,,0,606499,38913,716
2034,Home Mortgage,2477087,2 years,0,19,41.8,2071146,0,,0,1214537,43555,750
2035,Home Mortgage,2296644,10+ years,0,16,25.9,1900602,0,,0,761634,19522,746
2036,Home Mortgage,1172984,4 years,0,6,24.2,9094184,0,,0,1413733,8709,748
2037,Rent,,1 year,0,13,12.7,342650,0,,0,202711,11915,
2038,Home Mortgage,1215126,10+ years,0,11,18.1,425172,0,,0,175522,11848,691
2039,Home Mortgage,675792,6 years,0,7,15,161084,0,,0,28101,2253,730
2040,Rent,,,0,9,22.3,580602,0,,0,309890,10057,
2041,Own Home,578835,7 years,0,11,18.7,997414,0,,0,174857,9792,747
2042,Home Mortgage,2257884,10+ years,0,16,46,1235388,0,,0,691372,39325,738
2043,Rent,1102722,10+ years,0,6,20.8,214016,0,,0,103322,23433,734
2044,Home Mortgage,1746765,10+ years,0,11,22.5,831292,0,,0,320929,18778,746
2045,Home Mortgage,,2 years,0,11,16.9,644358,0,,0,433504,28100,
2046,Home Mortgage,1883280,,0,16,41,1281742,0,,0,708453,36881,715
2047,Home Mortgage,939759,2 years,0,16,16.8,199760,1,,1,112822,27409,721
2048,Rent,756200,1 year,0,3,10,118272,0,,0,80180,5539,731
2049,Rent,2940288,10+ years,0,12,30,1685002,0,,0,609748,28423,750
2050,Home Mortgage,1638902,8 years,0,11,15.6,617826,0,,0,328149,9410,746
2051,Home Mortgage,1336650,< 1 year,0,15,21.6,349624,0,,0,137693,23391,747
2052,Rent,,< 1 year,0,14,14.4,476674,0,,0,228076,19504,
2053,Rent,1079865,1 year,0,12,14.2,487014,1,,1,134159,8225,712
2054,Rent,,8 years,0,5,9.7,204182,0,,0,104747,14280,
2055,Home Mortgage,3412134,10+ years,0,11,19.8,919380,0,,0,809894,35827,715
2056,Rent,1204201,2 years,0,14,10,473506,0,,0,340233,28600,739
2057,Rent,1021174,1 year,0,8,17.5,608762,0,,0,243428,10867,749
2058,Home Mortgage,1029686,,0,10,19.5,467962,1,,1,107901,25227,745
2059,Own Home,951520,7 years,0,14,14,718806,0,,0,54017,7430,745
2060,Home Mortgage,1844349,6 years,0,14,22.5,1550230,0,,0,495368,13433,725
2061,Own Home,833910,1 year,0,9,6.8,410058,0,,0,217436,20083,744
2062,Home Mortgage,3544526,< 1 year,0,10,21.4,982828,0,,0,652726,57598,719
2063,Home Mortgage,1456939,10+ years,0,11,18,2088834,0,,0,1008425,43465,725
2064,Home Mortgage,,10+ years,0,17,21.1,1540594,0,,0,1170837,83458,
2065,Own Home,777708,10+ years,0,5,41.3,237688,0,,0,194180,6235,7310
2066,Rent,1532160,6 years,0,9,15.6,179520,0,,0,70072,29111,744
2067,Rent,868851,10+ years,0,10,37.6,291742,1,,1,113392,20925,714
2068,Rent,1838421,2 years,0,5,14.4,1887204,0,,0,1201218,7798,741
2069,Rent,1151058,3 years,0,12,17.5,439274,0,,0,117990,14292,695
2070,Own Home,776112,4 years,0,2,12.6,181610,0,,0,17575,284,704
2071,Rent,650978,4 years,0,20,15.8,469766,0,,0,226385,11435,749
2072,Own Home,1688891,10+ years,0,20,21.4,1688588,0,,0,348536,34341,746
2073,Rent,1749064,2 years,0,12,10.2,507540,0,,0,283594,30608,704
2074,Rent,466602,,0,9,23.4,198770,0,,0,129789,10887,744
2075,Rent,1216475,3 years,0,7,25,357280,0,,0,181735,34872,7360
2076,Rent,680561,10+ years,0,11,15.4,423148,0,,0,90269,8224,746
2077,Rent,,,0,7,7.1,310970,0,,0,146623,6813,
2078,Own Home,1920140,< 1 year,0,11,14.3,524810,0,,0,333146,19201,742
2079,Rent,,10+ years,0,6,14.1,383922,0,,0,314317,10020,
